avg_value_idx,trial_idx,ss,choice,fixations
0.2,9,"[0.856041474593288, 0.36558808872313453, 0.36967903253092566, -1.5246039718640414, 2.0489348360245723, 0.5394694353784932]","[2, 1, 5]","[2, 2, 2, 4, 6, 5, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1]"
0.4,9,"[-1.2617261180981147, 1.1411789005660453, 0.8341312803148373, -0.8371949184465378, 0.02136662118431476, -1.900799937430392]","[2, 4, 6]","[3, 3, 2, 4, 5, 1, 1, 4]"
0.6,9,"[1.0296941674964613, 0.10166621257813896, -0.3331811211156085, -0.5313046945697463, 0.7418959596986712, 0.0658006627543638]","[5, 2, 6]","[3, 3, 4, 4, 1, 1, 6, 2, 2, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
0.8,9,"[0.8680211138026703, -0.21063304371945724, 2.7085674524329546, -0.015306242728215125, -1.4186635520524595, 0.3118566518551106]","[3, 6, 1]","[1, 2, 2, 6, 6, 5, 3, 3, 3, 3, 3, 3, 3, 3]"
1.0,9,"[0.3868589153738251, 1.4910723604962737, -1.48837980902436, 1.0991589634595123, -0.4676765937046181, 1.5964427005672164]","[6, 1, 2]","[3, 2, 1, 5, 4, 4, 4, 4, 4, 4, 6, 6]"
1.2,9,"[1.0875208590703482, 0.5051324826744445, 1.1783582320317476, 2.3154980397736535, 2.0117794933786053, 0.4312370391776529]","[4, 6, 5]","[4, 3, 5, 5, 6, 6, 6, 1, 1, 2, 2]"
1.4,9,"[0.6248819874281906, 1.5272610620220153, 1.0763756255089705, 1.0355682951161624, 0.6237893374559578, -0.34257038187478206]","[1, 2, 5]","[3, 3, 5, 2, 4, 1, 1, 1]"
1.6,9,"[-0.11398494968488393, 0.6255844992789164, 0.5246826294797109, 2.9862129508168582, 1.8838286671747075, 0.9833812700791161]","[4, 1, 5]","[2, 2, 2, 1, 3, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2]"
1.8,9,"[1.58586734840876, 2.258505941341879, 2.0405478759758444, 1.8342648434949933, 1.2947054373514635, 1.913013020945874]","[2, 3, 5]","[6, 6, 1, 3, 2, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1]"
2.0,9,"[1.9638816001391428, 2.3183142762048776, 2.954583798203201, 1.3936923686290208, 2.7595372650344165, 2.1801841206585424]","[1, 3, 2]","[6, 2, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 3, 3, 3, 2, 2, 2, 2, 2]"
0.0,10,"[-1.2218846620448256, -0.05108964582443308, 0.5973959124438876, 0.08739015957576571, -1.0039262852653872, -0.19626092165660453]","[3, 5, 2]","[2, 2, 5, 4, 4, 1, 1, 1, 6, 3, 3, 3, 3, 3, 3]"
0.2,10,"[-0.6006040901177696, 0.9907089689032591, 0.7689149940420308, -0.44582432349315065, -0.7798410455144624, 0.27652027339120694]","[3, 2, 1]","[6, 1, 4, 4, 5, 5, 5, 2, 2, 2, 2, 3, 3, 3]"
0.4,10,"[1.1843288330397668, 0.5709148201091201, 0.9195499268625295, -0.16621113443871272, 0.042542897130896595, 1.1453975738918367]","[3, 1, 5]","[3, 4, 5, 6, 6, 6, 1, 2, 2, 2, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3]"
0.6,10,"[1.0834260497175858, 0.5562586921024236, 0.020078528377643234, 1.767801907351254, 0.513895765300687, -0.8730357610704528]","[3, 2, 6]","[4, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
